timestamp,team_1_yes,team_1_no,team_2_yes,team_2_no
2025-12-05T18:17:24.460429+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:17:38.105943+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:18:00.968623+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:18:24.421010+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:18:42.526288+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:19:01.084381+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:19:19.072785+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:19:37.513448+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:19:51.146784+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:20:04.614273+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:20:18.009289+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:20:36.428955+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:20:50.295482+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:21:04.311052+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:21:18.136089+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:21:31.604161+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:21:44.980374+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:22:04.290664+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:22:27.909337+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:22:46.184381+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:23:14.730852+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:23:37.978599+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:23:57.107924+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:24:11.160708+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:24:24.713150+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:24:38.186724+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:24:57.190046+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:25:20.587324+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:25:34.352178+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:25:47.777299+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:26:10.918104+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:26:29.227196+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:26:52.994810+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:27:11.392778+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:27:29.805420+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:27:57.307768+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:28:15.599244+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:28:38.513139+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:29:01.335768+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:29:14.785311+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:29:28.079044+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:29:46.390339+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:29:59.920790+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:30:18.381281+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:30:32.330017+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:30:55.340007+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:31:09.584998+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:31:23.350617+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:31:41.599483+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:32:00.075557+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:32:23.123925+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:32:36.752003+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:33:00.273276+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:33:18.757573+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:33:37.310262+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:34:00.821629+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:34:14.674170+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:34:38.093960+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:34:56.939639+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:35:15.251946+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:35:33.503683+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:35:56.844194+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:36:10.335831+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:36:38.999798+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:36:57.605029+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:37:16.286712+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:37:44.724037+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:38:03.204015+00:00,0.3900,0.6200,0.6300,0.3800
2025-12-05T18:38:16.595172+00:00,0.3900,0.6200,0.6300,0.3800
