timestamp,outcome1_cents,outcome1_decimal,outcome1_probability,outcome2_cents,outcome2_decimal,outcome2_probability,latency
2025-12-06 00:31:34.456,45,2.18,0.46,54,1.82,0.55,616
2025-12-06 00:31:36.524,45,2.18,0.46,54,1.82,0.55,628
2025-12-06 00:31:37.702,45,2.18,0.46,54,1.82,0.55,628
2025-12-06 00:31:39.251,45,2.18,0.46,54,1.82,0.55,853
2025-12-06 00:31:40.364,45,2.18,0.46,54,1.82,0.55,602
2025-12-06 00:31:41.695,45,2.18,0.46,54,1.82,0.55,607
2025-12-06 00:31:43.170,45,2.18,0.46,54,1.82,0.55,604
2025-12-06 00:31:44.302,45,2.18,0.46,54,1.82,0.55,616
2025-12-06 00:31:45.417,45,2.18,0.46,54,1.82,0.55,603
2025-12-06 00:31:46.558,45,2.18,0.46,54,1.82,0.55,620
2025-12-06 00:31:47.887,45,2.18,0.46,54,1.82,0.55,624
2025-12-06 00:31:49.391,45,2.18,0.46,54,1.82,0.55,629
2025-12-06 00:31:50.551,45,2.18,0.46,54,1.82,0.55,610
2025-12-06 00:31:51.723,45,2.18,0.46,54,1.82,0.55,616
2025-12-06 00:31:52.861,45,2.18,0.46,54,1.82,0.55,623
2025-12-06 00:31:54.700,45,2.18,0.46,54,1.82,0.55,633
2025-12-06 00:31:56.104,45,2.18,0.46,54,1.82,0.55,889
2025-12-06 00:31:57.317,45,2.18,0.46,54,1.82,0.55,632
2025-12-06 00:31:58.458,45,2.18,0.46,54,1.82,0.55,621
2025-12-06 00:32:00.087,45,2.18,0.46,54,1.82,0.55,634
2025-12-06 00:32:01.649,45,2.18,0.46,54,1.82,0.55,601
2025-12-06 00:32:02.780,45,2.18,0.46,54,1.82,0.55,621
2025-12-06 00:32:03.946,45,2.18,0.46,54,1.82,0.55,628
2025-12-06 00:32:05.948,45,2.18,0.46,54,1.82,0.55,636
2025-12-06 00:32:07.320,45,2.18,0.46,54,1.82,0.55,704
2025-12-06 00:32:08.444,45,2.18,0.46,54,1.82,0.55,606
2025-12-06 00:32:09.602,45,2.18,0.46,54,1.82,0.55,608
2025-12-06 00:32:10.739,45,2.18,0.46,54,1.82,0.55,624
2025-12-06 00:32:12.341,45,2.18,0.46,54,1.82,0.55,612
2025-12-06 00:32:13.613,45,2.18,0.46,54,1.82,0.55,611
2025-12-06 00:32:14.819,45,2.18,0.46,54,1.82,0.55,594
2025-12-06 00:32:15.935,45,2.18,0.46,54,1.82,0.55,603
2025-12-06 00:32:17.080,45,2.18,0.46,54,1.82,0.55,631
2025-12-06 00:32:18.644,45,2.18,0.46,54,1.82,0.55,634
2025-12-06 00:32:20.137,45,2.18,0.46,54,1.82,0.55,606
2025-12-06 00:32:21.282,45,2.18,0.46,54,1.82,0.55,610
2025-12-06 00:32:22.382,45,2.18,0.46,54,1.82,0.55,591
2025-12-06 00:32:23.678,45,2.18,0.46,54,1.82,0.55,788
2025-12-06 00:32:24.828,45,2.18,0.46,54,1.82,0.55,599
2025-12-06 00:32:26.218,45,2.18,0.46,54,1.82,0.55,607
2025-12-06 00:32:27.374,45,2.18,0.46,54,1.82,0.55,611
2025-12-06 00:32:28.500,45,2.18,0.46,54,1.82,0.55,612
2025-12-06 00:32:30.142,45,2.18,0.46,54,1.82,0.55,643
2025-12-06 00:32:31.295,45,2.18,0.46,54,1.82,0.55,613
2025-12-06 00:32:32.689,45,2.18,0.46,54,1.82,0.55,635
2025-12-06 00:32:33.912,45,2.18,0.46,54,1.82,0.55,592
2025-12-06 00:32:35.240,45,2.18,0.46,54,1.82,0.55,615
2025-12-06 00:32:36.664,45,2.18,0.46,54,1.82,0.55,625
2025-12-06 00:32:38.067,45,2.18,0.46,54,1.82,0.55,613
2025-12-06 00:32:39.199,45,2.18,0.46,54,1.82,0.55,597
2025-12-06 00:32:40.336,45,2.18,0.46,54,1.82,0.55,620
2025-12-06 00:32:41.533,45,2.18,0.46,54,1.82,0.55,598
2025-12-06 00:32:42.797,45,2.18,0.46,54,1.82,0.55,604
2025-12-06 00:32:44.569,45,2.18,0.46,54,1.82,0.55,636
2025-12-06 00:32:45.935,45,2.18,0.46,54,1.82,0.55,641
2025-12-06 00:32:47.117,45,2.18,0.46,54,1.82,0.55,625
2025-12-06 00:32:48.716,45,2.18,0.46,54,1.82,0.55,599
2025-12-06 00:32:50.182,45,2.18,0.46,54,1.82,0.55,633
2025-12-06 00:32:51.341,45,2.18,0.46,54,1.82,0.55,609
2025-12-06 00:32:52.526,45,2.18,0.46,54,1.82,0.55,599
2025-12-06 00:32:54.024,45,2.18,0.46,54,1.82,0.55,595
2025-12-06 00:32:56.084,45,2.18,0.46,54,1.82,0.55,957
2025-12-06 00:32:57.483,45,2.18,0.46,54,1.82,0.55,654
2025-12-06 00:32:58.690,45,2.18,0.46,54,1.82,0.55,653
2025-12-06 00:33:00.040,45,2.18,0.46,54,1.82,0.55,616
2025-12-06 00:33:01.179,45,2.18,0.46,54,1.82,0.55,618
2025-12-06 00:33:02.657,45,2.18,0.46,54,1.82,0.55,616
2025-12-06 00:33:04.053,45,2.18,0.46,54,1.82,0.55,634
2025-12-06 00:33:05.419,45,2.18,0.46,54,1.82,0.55,628
2025-12-06 00:33:06.777,45,2.18,0.46,54,1.82,0.55,620
2025-12-06 00:33:07.895,45,2.18,0.46,54,1.82,0.55,603
2025-12-06 00:33:09.293,45,2.18,0.46,54,1.82,0.55,605
2025-12-06 00:33:10.626,45,2.18,0.46,54,1.82,0.55,609
2025-12-06 00:33:11.733,45,2.18,0.46,54,1.82,0.55,595
2025-12-06 00:33:13.408,45,2.18,0.46,54,1.82,0.55,648
2025-12-06 00:33:14.543,45,2.18,0.46,54,1.82,0.55,624
2025-12-06 00:33:15.729,45,2.18,0.46,54,1.82,0.55,609
2025-12-06 00:33:16.907,45,2.18,0.46,54,1.82,0.55,610
2025-12-06 00:33:18.346,45,2.18,0.46,54,1.82,0.55,610
2025-12-06 00:33:19.659,45,2.18,0.46,54,1.82,0.55,633
2025-12-06 00:33:20.788,45,2.18,0.46,54,1.82,0.55,618
2025-12-06 00:33:22.189,45,2.18,0.46,54,1.82,0.55,761
2025-12-06 00:33:23.456,45,2.18,0.46,54,1.82,0.55,721
2025-12-06 00:33:25.006,45,2.18,0.46,54,1.82,0.55,636
2025-12-06 00:33:26.126,45,2.18,0.46,54,1.82,0.55,614
2025-12-06 00:33:27.226,45,2.18,0.46,54,1.82,0.55,596
2025-12-06 00:33:28.410,45,2.18,0.46,54,1.82,0.55,599
2025-12-06 00:33:29.600,45,2.18,0.46,54,1.82,0.55,617
2025-12-06 00:33:31.319,45,2.18,0.46,54,1.82,0.55,692
2025-12-06 00:33:32.432,45,2.18,0.46,54,1.82,0.55,603
2025-12-06 00:33:33.553,45,2.18,0.46,54,1.82,0.55,610
2025-12-06 00:33:34.683,45,2.18,0.46,54,1.82,0.55,609
2025-12-06 00:33:35.866,45,2.18,0.46,54,1.82,0.55,621
2025-12-06 00:33:37.451,45,2.18,0.46,54,1.82,0.55,623
2025-12-06 00:33:38.749,45,2.18,0.46,54,1.82,0.55,602
2025-12-06 00:33:39.945,45,2.18,0.46,54,1.82,0.55,602
2025-12-06 00:33:41.064,45,2.18,0.46,54,1.82,0.55,601
2025-12-06 00:33:42.644,45,2.18,0.46,54,1.82,0.55,627
2025-12-06 00:33:44.048,45,2.18,0.46,54,1.82,0.55,602
2025-12-06 00:33:45.149,45,2.18,0.46,54,1.82,0.55,593
2025-12-06 00:33:46.651,45,2.18,0.46,54,1.82,0.55,601
2025-12-06 00:33:48.076,45,2.18,0.46,54,1.82,0.55,614
2025-12-06 00:33:49.292,45,2.18,0.46,54,1.82,0.55,667
2025-12-06 00:33:50.760,45,2.18,0.46,54,1.82,0.55,604
2025-12-06 00:33:51.862,45,2.18,0.46,54,1.82,0.55,595
2025-12-06 00:33:53.318,45,2.18,0.46,54,1.82,0.55,600
2025-12-06 00:33:54.725,45,2.18,0.46,54,1.82,0.55,600
2025-12-06 00:33:56.121,45,2.18,0.46,54,1.82,0.55,605
2025-12-06 00:33:57.261,45,2.18,0.46,54,1.82,0.55,625
2025-12-06 00:33:58.450,45,2.18,0.46,54,1.82,0.55,633
2025-12-06 00:33:59.603,45,2.18,0.46,54,1.82,0.55,602
2025-12-06 00:34:00.935,45,2.18,0.46,54,1.82,0.55,598
2025-12-06 00:34:02.206,45,2.18,0.46,54,1.82,0.55,638
2025-12-06 00:34:03.330,45,2.18,0.46,54,1.82,0.55,617
2025-12-06 00:34:04.495,45,2.18,0.46,54,1.82,0.55,653
2025-12-06 00:34:05.769,45,2.18,0.46,54,1.82,0.55,619
2025-12-06 00:34:07.055,45,2.18,0.46,54,1.82,0.55,594
2025-12-06 00:34:08.432,45,2.18,0.46,54,1.82,0.55,610
2025-12-06 00:34:09.602,45,2.18,0.46,54,1.82,0.55,625
2025-12-06 00:34:10.712,45,2.18,0.46,54,1.82,0.55,601
2025-12-06 00:34:11.860,45,2.18,0.46,54,1.82,0.55,606
2025-12-06 00:34:13.157,45,2.18,0.46,54,1.82,0.55,600
2025-12-06 00:34:14.476,45,2.18,0.46,54,1.82,0.55,597
2025-12-06 00:34:15.637,45,2.18,0.46,54,1.82,0.55,610
2025-12-06 00:34:16.786,45,2.18,0.46,54,1.82,0.55,621
2025-12-06 00:34:17.970,45,2.18,0.46,54,1.82,0.55,604
2025-12-06 00:34:19.328,45,2.18,0.46,54,1.82,0.55,625
2025-12-06 00:34:21.212,45,2.18,0.46,54,1.82,0.55,736
2025-12-06 00:34:22.399,45,2.18,0.46,54,1.82,0.55,634
2025-12-06 00:34:23.535,45,2.18,0.46,54,1.82,0.55,595
2025-12-06 00:34:25.065,45,2.18,0.46,54,1.82,0.55,617
2025-12-06 00:34:26.545,45,2.18,0.46,54,1.82,0.55,602
2025-12-06 00:34:27.673,45,2.18,0.46,54,1.82,0.55,619
2025-12-06 00:34:28.784,45,2.18,0.46,54,1.82,0.55,593
