timestamp,tulane_cents,tulane_decimal,tulane_probability,northtexas_cents,northtexas_decimal,northtexas_probability,latency_ms
2025-12-05 19:07:30.328,60,1.68,0.60,49,2.05,0.49,543
2025-12-05 19:07:31.384,60,1.68,0.60,49,2.05,0.49,551
2025-12-05 19:07:32.460,60,1.68,0.60,49,2.05,0.49,570
2025-12-05 19:07:33.515,60,1.68,0.60,49,2.05,0.49,548
2025-12-05 19:07:34.560,60,1.68,0.60,49,2.05,0.49,540
2025-12-05 19:07:35.608,60,1.68,0.60,49,2.05,0.49,545
2025-12-05 19:07:36.660,60,1.68,0.60,49,2.05,0.49,547
2025-12-05 19:07:37.700,60,1.68,0.60,49,2.05,0.49,538
2025-12-05 19:07:38.802,60,1.68,0.60,49,2.05,0.49,548
2025-12-05 19:07:39.852,60,1.68,0.60,49,2.05,0.49,544
2025-12-05 19:07:40.904,60,1.68,0.60,49,2.05,0.49,546
2025-12-05 19:07:41.954,60,1.68,0.60,49,2.05,0.49,544
2025-12-05 19:07:43.012,60,1.68,0.60,49,2.05,0.49,555
2025-12-05 19:07:44.064,60,1.68,0.60,49,2.05,0.49,550
2025-12-05 19:07:45.121,60,1.68,0.60,49,2.05,0.49,552
2025-12-05 19:07:46.165,60,1.68,0.60,49,2.05,0.49,542
2025-12-05 19:07:47.206,60,1.68,0.60,49,2.05,0.49,539
2025-12-05 19:07:48.255,60,1.68,0.60,49,2.05,0.49,543
2025-12-05 19:07:49.295,60,1.68,0.60,49,2.05,0.49,535
2025-12-05 19:07:50.364,60,1.68,0.60,49,2.05,0.49,555
2025-12-05 19:07:51.436,60,1.68,0.60,49,2.05,0.49,570
2025-12-05 19:07:52.477,60,1.68,0.60,49,2.05,0.49,539
2025-12-05 19:07:53.523,60,1.68,0.60,49,2.05,0.49,540
2025-12-05 19:07:54.561,60,1.68,0.60,49,2.05,0.49,535
2025-12-05 19:07:55.695,60,1.68,0.60,49,2.05,0.49,628
2025-12-05 19:07:56.746,60,1.68,0.60,49,2.05,0.49,548
2025-12-05 19:07:57.787,60,1.68,0.60,49,2.05,0.49,539
2025-12-05 19:07:58.823,60,1.68,0.60,49,2.05,0.49,535
2025-12-05 19:07:59.894,60,1.68,0.60,49,2.05,0.49,567
2025-12-05 19:08:00.960,60,1.68,0.60,49,2.05,0.49,560
2025-12-05 19:08:02.033,60,1.68,0.60,49,2.05,0.49,567
2025-12-05 19:08:03.097,60,1.68,0.60,49,2.05,0.49,541
2025-12-05 19:08:04.135,60,1.68,0.60,49,2.05,0.49,535
2025-12-05 19:08:05.196,60,1.68,0.60,49,2.05,0.49,555
2025-12-05 19:08:06.237,60,1.68,0.60,49,2.05,0.49,539
2025-12-05 19:08:07.283,60,1.68,0.60,49,2.05,0.49,542
2025-12-05 19:08:08.316,60,1.68,0.60,49,2.05,0.49,531
2025-12-05 19:08:09.481,60,1.68,0.60,49,2.05,0.49,560
2025-12-05 19:08:10.526,60,1.68,0.60,49,2.05,0.49,539
2025-12-05 19:08:11.586,60,1.68,0.60,49,2.05,0.49,555
2025-12-05 19:08:12.859,60,1.68,0.60,49,2.05,0.49,694
2025-12-05 19:08:13.910,60,1.68,0.60,49,2.05,0.49,550
2025-12-05 19:08:14.955,60,1.68,0.60,49,2.05,0.49,539
2025-12-05 19:08:16.041,60,1.68,0.60,49,2.05,0.49,555
2025-12-05 19:08:17.095,60,1.68,0.60,49,2.05,0.49,548
2025-12-05 19:08:18.135,60,1.68,0.60,49,2.05,0.49,535
2025-12-05 19:08:19.181,60,1.68,0.60,49,2.05,0.49,540
2025-12-05 19:08:20.234,60,1.68,0.60,49,2.05,0.49,550
2025-12-05 19:08:21.278,60,1.68,0.60,49,2.05,0.49,539
2025-12-05 19:08:22.330,60,1.68,0.60,49,2.05,0.49,549
2025-12-05 19:08:23.434,60,1.68,0.60,49,2.05,0.49,598
2025-12-05 19:08:24.476,60,1.68,0.60,49,2.05,0.49,536
2025-12-05 19:08:25.529,60,1.68,0.60,49,2.05,0.49,547
2025-12-05 19:08:26.572,60,1.68,0.60,49,2.05,0.49,537
2025-12-05 19:08:27.609,60,1.68,0.60,49,2.05,0.49,533
2025-12-05 19:08:28.653,60,1.68,0.60,49,2.05,0.49,538
2025-12-05 19:08:29.711,60,1.68,0.60,49,2.05,0.49,552
2025-12-05 19:08:30.755,60,1.68,0.60,49,2.05,0.49,538
2025-12-05 19:08:31.807,60,1.68,0.60,49,2.05,0.49,550
2025-12-05 19:08:32.874,60,1.68,0.60,49,2.05,0.49,562
2025-12-05 19:08:33.931,60,1.68,0.60,49,2.05,0.49,548
2025-12-05 19:08:34.983,60,1.68,0.60,49,2.05,0.49,550
2025-12-05 19:08:36.033,60,1.68,0.60,49,2.05,0.49,544
2025-12-05 19:08:37.086,60,1.68,0.60,49,2.05,0.49,551
2025-12-05 19:08:38.132,60,1.68,0.60,49,2.05,0.49,540
2025-12-05 19:08:39.192,60,1.68,0.60,49,2.05,0.49,555
2025-12-05 19:08:40.248,60,1.68,0.60,49,2.05,0.49,548
2025-12-05 19:08:41.286,60,1.68,0.60,49,2.05,0.49,535
2025-12-05 19:08:42.332,60,1.68,0.60,49,2.05,0.49,543
2025-12-05 19:08:43.393,60,1.68,0.60,49,2.05,0.49,555
2025-12-05 19:08:44.434,60,1.68,0.60,49,2.05,0.49,538
