timestamp,moneyline_team_1_cents,moneyline_team_2_cents,spreads_-2.5_cents,spreads_-2.5_cents,spreads_-2.5_cents,spreads_-2.5_cents,totals_65.5_cents,totals_65.5_cents,totals_67.5_cents,totals_67.5_cents,totals_66.5_cents,totals_66.5_cents
2025-12-05 18:47:02.633,0.0000,0.0000,0.0000,52.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-12-05 18:47:02.634,0.0000,0.0000,0.0000,52.0000,0.0000,0.0000,0.0000,48.0000,0.0000,0.0000,0.0000,0.0000
2025-12-05 18:47:02.634,0.0000,0.0000,0.0000,52.0000,0.0000,0.0000,0.0000,48.0000,0.0000,54.0000,0.0000,0.0000
2025-12-05 18:47:02.634,0.0000,0.0000,0.0000,52.0000,0.0000,52.0000,0.0000,48.0000,0.0000,54.0000,0.0000,0.0000
2025-12-05 18:47:02.634,0.0000,0.0000,0.0000,52.0000,0.0000,52.0000,55.0000,48.0000,0.0000,54.0000,0.0000,0.0000
2025-12-05 18:47:02.634,0.0000,0.0000,0.0000,52.0000,0.0000,52.0000,55.0000,48.0000,0.0000,54.0000,0.0000,51.0000
2025-12-05 18:47:02.635,0.0000,0.0000,49.0000,52.0000,0.0000,52.0000,55.0000,48.0000,0.0000,54.0000,0.0000,51.0000
2025-12-05 18:47:02.635,0.0000,0.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,0.0000,54.0000,0.0000,51.0000
2025-12-05 18:47:02.635,0.0000,0.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,0.0000,51.0000
2025-12-05 18:47:02.635,0.0000,0.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:47:02.635,55.0000,0.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:47:02.635,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:47:27.146,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:47:27.150,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:48:03.606,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:48:03.606,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:48:03.607,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:48:03.607,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:48:03.607,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:48:03.608,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:48:03.608,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:48:03.608,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:48:03.608,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:48:03.609,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:48:03.609,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:48:03.609,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:48:24.902,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:48:24.902,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:49:04.492,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:49:04.493,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:49:04.493,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:49:04.494,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:49:04.494,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:49:04.494,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:49:04.494,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:49:04.494,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:49:04.495,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:49:04.495,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:49:04.495,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
2025-12-05 18:49:04.495,55.0000,46.0000,49.0000,52.0000,49.0000,52.0000,55.0000,48.0000,48.0000,54.0000,51.0000,51.0000
