timestamp,team_1_yes,team_1_no,team_2_yes,team_2_no
2025-12-10T20:06:33.862647+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:06:40.303091+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:06:51.668350+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:07:03.055159+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:07:08.993619+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:07:15.493152+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:07:27.518776+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:07:33.543416+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:07:44.988274+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:07:51.007724+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:07:56.922894+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:08:03.170832+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:08:08.892538+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:08:20.574218+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:08:26.192038+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:08:32.968414+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:08:42.763615+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:08:49.270665+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:08:55.559563+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:09:02.153774+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:09:07.261034+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:09:13.457744+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:09:19.257053+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:09:24.740494+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:09:30.729967+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:09:36.190372+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:09:42.017125+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:09:48.763270+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:09:55.447555+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:10:00.483789+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:10:07.063674+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:10:13.280868+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:10:19.186016+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:10:26.115646+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:10:36.831446+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:10:43.630127+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:10:49.315316+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:11:01.445864+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:11:07.875641+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:11:13.808893+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:11:30.157695+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:11:36.544014+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:11:42.772016+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:11:54.569798+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:12:10.391013+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:12:18.127740+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:12:39.271223+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:12:54.889370+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:13:22.024706+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:13:44.754212+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:14:20.074696+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:14:39.953588+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:14:45.802895+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:14:51.809546+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:14:57.474739+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:15:03.922963+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:15:13.845037+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:15:28.895572+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:15:49.249528+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:15:56.329846+00:00,0.5000,0.5100,0.5200,0.5000
2025-12-10T20:16:07.709713+00:00,0.5000,0.5100,0.5200,0.5000
