timestamp,moneyline_team_1_cents,moneyline_team_2_cents,spreads_-1.5_cents,spreads_-1.5_cents,spreads_-1.5_cents,spreads_-1.5_cents,totals_5.5_cents,totals_5.5_cents,totals_6.5_cents,totals_6.5_cents
2025-12-10 19:54:26.632,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.0000,0.0000
2025-12-10 19:54:26.633,0.0000,49.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.0000,0.0000
2025-12-10 19:54:26.633,0.0000,49.0000,0.0000,0.0000,0.0000,72.0000,0.0000,0.0000,44.0000,0.0000
2025-12-10 19:54:26.633,0.0000,49.0000,0.0000,0.0000,0.0000,72.0000,0.0000,45.0000,44.0000,0.0000
2025-12-10 19:54:26.633,0.0000,49.0000,31.0000,0.0000,0.0000,72.0000,0.0000,45.0000,44.0000,0.0000
2025-12-10 19:54:26.633,0.0000,49.0000,31.0000,0.0000,0.0000,72.0000,57.0000,45.0000,44.0000,0.0000
2025-12-10 19:54:26.633,0.0000,49.0000,31.0000,0.0000,0.0000,72.0000,57.0000,45.0000,44.0000,57.0000
2025-12-10 19:54:26.633,0.0000,49.0000,31.0000,71.0000,0.0000,72.0000,57.0000,45.0000,44.0000,57.0000
2025-12-10 19:54:26.634,52.0000,49.0000,31.0000,71.0000,0.0000,72.0000,57.0000,45.0000,44.0000,57.0000
2025-12-10 19:54:26.634,52.0000,49.0000,31.0000,71.0000,31.0000,72.0000,57.0000,45.0000,44.0000,57.0000
2025-12-10 19:54:49.365,52.0000,49.0000,31.0000,71.0000,31.0000,72.0000,57.0000,45.0000,44.0000,57.0000
2025-12-10 19:54:49.365,52.0000,49.0000,31.0000,71.0000,31.0000,72.0000,57.0000,45.0000,44.0000,57.0000
2025-12-10 19:55:27.549,52.0000,49.0000,31.0000,71.0000,31.0000,72.0000,57.0000,45.0000,44.0000,57.0000
2025-12-10 19:55:27.549,52.0000,49.0000,31.0000,71.0000,31.0000,72.0000,57.0000,45.0000,44.0000,57.0000
2025-12-10 19:55:27.550,52.0000,49.0000,31.0000,71.0000,31.0000,72.0000,57.0000,45.0000,44.0000,57.0000
2025-12-10 19:55:27.550,52.0000,49.0000,31.0000,71.0000,31.0000,72.0000,57.0000,45.0000,44.0000,57.0000
2025-12-10 19:55:27.550,52.0000,49.0000,31.0000,71.0000,31.0000,72.0000,57.0000,45.0000,44.0000,57.0000
2025-12-10 19:55:27.550,52.0000,49.0000,31.0000,71.0000,31.0000,72.0000,57.0000,45.0000,44.0000,57.0000
2025-12-10 19:55:27.550,52.0000,49.0000,31.0000,71.0000,31.0000,72.0000,57.0000,45.0000,44.0000,57.0000
2025-12-10 19:55:27.551,52.0000,49.0000,31.0000,71.0000,31.0000,72.0000,57.0000,45.0000,44.0000,57.0000
2025-12-10 19:55:27.551,52.0000,49.0000,31.0000,71.0000,31.0000,72.0000,57.0000,45.0000,44.0000,57.0000
2025-12-10 19:55:27.551,52.0000,49.0000,31.0000,71.0000,31.0000,72.0000,57.0000,45.0000,44.0000,57.0000
2025-12-10 19:55:32.650,52.0000,49.0000,31.0000,71.0000,31.0000,72.0000,57.0000,45.0000,44.0000,57.0000
